,name,price,discount_price,total_sell,revenue,category,subcategory,sale_type
0,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,259000,239000,46200,11965800000,shirt,tshirt,single
1,Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate,279000,259000,34800,9709200000,pant,underwear,bundle
2,Quần thể thao nam Ultra Short co giãn có túi khóa kéo thương hiệu Coolmate,189000,99000,38400,7257600000,pant,short,single
3,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,299000,159000,53500,15996500000,pant,underwear,bundle
4,Combo 2 quần lót nam Trunk Bamboo kháng khuẩn thương hiệu Coolmate,199000,179000,22500,4477500000,pant,underwear,bundle
5,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,229000,219000,16900,3870100000,pant,underwear,bundle
6,Áo thun nam 100% Cotton USA Coolmate Basics thương hiệu Coolmate,105000,105000,38100,4000500000,shirt,tshirt,single
7,Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,189000,179000,18800,3553200000,pant,short,single
8,Áo thun nam DÀI TAY Cotton Compact Premium chống nhăn thương hiệu Coolmate,179000,179000,15500,2774500000,shirt,tshirt,single
9,Quần thể thao nam Max Ultra Short kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,199000,189000,13200,2626800000,pant,short,single
10,Áo sát nách thể thao nam Dri-Breathe thoáng mát tối đa thương hiệu Coolmate,189000,179000,6700,1266300000,shirt,other,single
11,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate,159000,159000,24000,3816000000,shirt,polo,single
12,Set 2 quần lót nam Trunk Modal (gỗ sồi) mềm mại thấm hút tốt thương hiệu Coolmate,186000,169000,4600,855600000,pant,underwear,bundle
13,Áo Polo nam Excool khô thoáng chống nhăn thương hiệu Coolmate,399000,399000,8600,3431400000,shirt,polo,single
14,"Quần thể thao nam Maxcool màu ĐEN co dãn, thoải mái thương hiệu Coolmate",129000,99000,30400,3921600000,pant,other,single
15,Quần nỉ nam Jogger Casual co giãn - thương hiệu Coolmate,299000,299000,3700,1106300000,pant,jogger,single
16,Combo 5 quần sịp nam Trunk Cotton co giãn thoải mái thương hiệu Coolmate,496000,249000,15700,7787200000,pant,other,bundle
17,Áo thun nam dài tay cổ trụ Prime Henley Cotton Compact Premium thương hiệu Coolmate,269000,199000,7200,1936800000,shirt,tshirt,single
18,Áo thun nam IN COOLMATE Cotton Compact phiên bản Premium,259000,219000,5600,1450400000,shirt,tshirt,single
19,"Combo 3 quần sịp tam giác Cotton đen, xám, xanh ghi Coolmate TG-DXXg",219000,199000,4000,876000000,pant,other,bundle
20,Quần lót nam dáng Trunk Bamboo kháng khuẩn thương hiệu Coolmate,99000,99000,4700,465300000,pant,underwear,single
21,"Combo dùng thử quần lót nam Trunk 3 chất liệu Cotton, Modal, Bamboo thương hiệu Coolmate",283000,199000,9400,2660200000,pant,underwear,bundle
22,"Combo dùng thử quần lót TAM GIÁC nam 3 chất liệu Cotton, Modal, Bamboo thương hiệu Coolmate",209000,149000,12200,2549800000,pant,underwear,bundle
23,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),400000,299000,11300,4520000000,pant,underwear,bundle
24,Combo 3 quần lót nam Brief Boxer Bamboo kháng khuẩn Coolmate,349000,279000,6200,2163800000,pant,underwear,bundle
25,Quần lót nam Trunk Modal vải sợi gỗ sồi thương hiệu Coolmate,139000,99000,3300,458700000,pant,underwear,single
26,Combo 3 quần lót TAM GIÁC nam BRIEF MODAL (gỗ sồi) mềm mại thương hiệu Coolmate,229000,219000,3600,824400000,pant,underwear,bundle
27,Set 3 quần lót nam Brief Boxer Modal (gỗ sồi) thoáng mát khử mùi thương hiệu Coolmate,299000,279000,2300,687700000,pant,underwear,bundle
28,Combo 2 quần thể thao nam Ultra Short có túi khóa kéo thương hiệu Coolmate,378000,378000,1800,680400000,pant,short,bundle
29,Quần lót tam giác nam Brief Cotton co giãn thương hiệu Coolmate,73000,73000,2900,211700000,pant,underwear,single
30,Tất thể thao nam Techfit co giãn thoáng khí thương hiệu Coolmate,49000,39000,5900,289100000,sock,none,single
31,Quần lót nam tam giác Brief Bamboo kháng khuẩn Coolmate,83000,83000,4900,406700000,pant,underwear,single
32,Combo 2 áo thun nam Cotton Compact phiên bản Premium chống nhăn thương hiệu Coolmate,518000,518000,1300,673400000,shirt,tshirt,bundle
33,Áo thun nam in Care&Share bên trái Cotton Compact  thương hiệu Coolmate,259000,259000,896,232064000,shirt,tshirt,single
34,Quần lót nam Trunk Cotton Compact siêu mát S2 thương hiệu Coolmate,99000,99000,5200,514800000,pant,underwear,single
35,Áo thun nam 100% Cotton Coolmate Basics màu ĐEN thương hiệu Coolmate,119000,119000,1000,119000000,shirt,tshirt,single
36,Áo thun nam 100% Cotton Coolmate Basics màu TRẮNG thương hiệu Coolmate,119000,119000,1700,202300000,shirt,tshirt,single
37,Áo thun nam Cotton Compact Premium chống nhăn màu ĐEN Coolmate,239000,239000,1100,262900000,shirt,tshirt,single
38,Combo 03 quần lót nam New Trunk Cotton Compact co giãn - màu đen thương hiệu Coolmate,289000,289000,1100,317900000,pant,underwear,bundle
39,Áo thun nam 100% Cotton Coolmate Basics màu CACAO thương hiệu Coolmate,119000,119000,1500,178500000,shirt,tshirt,single
40,Áo thun nam in Care&Share Cotton Compact Premium (chính giữa) thương hiệu Coolmate,259000,259000,718,185962000,shirt,tshirt,single
41,Áo thun nam 100% Cotton Coolmate Basics màu XANH BIỂN thương hiệu Coolmate,119000,119000,1300,154700000,shirt,tshirt,single
42,Combo 3 quần lót nam Trunk Cotton Compact siêu mát S2 thương hiệu Coolmate,289000,289000,3300,953700000,pant,underwear,bundle
43,"Áo giữ nhiệt nam Modal Ultra Warm siêu ấm, thoáng khí - thương hiệu Coolmate",289000,289000,3900,1127100000,shirt,other,single
44,QUÀ TẶNG Bình giữ nhiệt in Logo Coolmate,299000,299000,2800,837200000,other,none,single
45,Combo 2 quần lót nam Trunk chất liệu Cotton và Bamboo kháng khuẩn thương hiệu Coolmate,189000,159000,2100,396900000,pant,underwear,bundle
46,"Áo thun nam Cotton Compact in ""I AM LIMITED""  phản quang - Màu đen thương hiệu Coolmate",259000,259000,1400,362600000,shirt,tshirt,single
47,Áo thun nam Cotton Compact phiên bản Premium chống nhăn màu trắng Coolmate,259000,259000,819,212121000,shirt,tshirt,single
48,Quần THỂ THAO nam Jogger đai chun co giãn Coolmate,279000,279000,2600,725400000,pant,jogger,single
49,Áo thun nam Cotton Compact phiên bản Premium chống nhăn màu XANH NAVY Coolmate,259000,239000,335,86765000,shirt,tshirt,single
50,Áo thun nam 100% Cotton Coolmate Basics màu RÊU BỤI thương hiệu Coolmate,119000,119000,1400,166600000,shirt,tshirt,single
51,"Áo thun nam 100% Cotton in "" Paradox ""  màu đen - thương hiệu Coolmate",119000,119000,1600,190400000,shirt,tshirt,single
52,"Áo thun nam 100% Cotton in "" FAMILY"" - Màu đen thương hiệu Coolmate:",119000,119000,1300,154700000,shirt,tshirt,single
53,Túi tote vải Canvas tiện lợi Care & Share - thương hiệu Coolmate,119000,119000,89,10591000,other,none,single
54,"Áo thun Cotton Compact in ""Hà Nội thứ 7 phải đi làm""  Màu đen - Thương hiệu Coolmate",259000,259000,126,32634000,shirt,tshirt,single
55,Combo 3 quần lót nam Trunk Bamboo S2 kháng khuẩn màu trắng thương hiệu Coolmate,299000,299000,609,182091000,pant,underwear,bundle
56,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",279000,279000,7800,2176200000,pant,other,single
57,Quần short thể thao nam ProMax thoáng khí thoải mái thương hiệu Coolmate,189000,179000,4100,774900000,pant,short,single
58,Áo Polo nam SCafé nam tính - khử mùi hiệu quả thương hiệu Coolmate,329000,329000,2100,690900000,shirt,polo,single
59,Quần thể thao nam Daily Short có khoá kéo năng động thương hiệu Coolmate,269000,269000,1400,376600000,pant,short,single
60,Quần Short nam mặc nhà Coolmate Basics nhanh khô thoáng khí thương hiệu Coolmate,69000,69000,6000,414000000,pant,short,single
61,Áo thể thao nam Recycle Coolmate Basics thấm hút nhanh khô,99000,99000,8200,811800000,shirt,other,single
62,Quần lót nam tam giác Brief Modal (gỗ sồi) mềm mại thương hiệu Coolmate,77000,77000,2700,207900000,pant,underwear,single
63,Quần lót nam Brief Coolmate Basics nhiều màu,49000,49000,1800,88200000,pant,underwear,single
64,Quần lót nam Trunk Coolmate Basics nhiều màu,56000,56000,5100,285600000,pant,underwear,single
65,Set 3 quần lót nam Trunk COOLMATE BASICS thoáng mát,169000,169000,1600,270400000,pant,underwear,bundle
66,Áo thun nam ngắn tay Cotton Compact phiên bản Premium chống nhăn Coolmate,239000,239000,1900,454100000,shirt,tshirt,single
67,Combo 3 quần lót nam Brief Coolmate Basics không viền êm ái,149000,149000,1000,149000000,pant,underwear,bundle
68,Quần dài nam Kaki Excool co giãn đàn hồi thương hiệu Coolmate,499000,499000,1400,698600000,pant,other,single
69,Quần Shorts Nam New French Terry thương hiệu Coolmate,259000,259000,709,183631000,pant,short,single
70,"Áo thun đen Coolmate in ""Stop thinking- Start drinking vải Cotton Compact",259000,259000,582,150738000,shirt,tshirt,single
71,Set 2 quần lót Bamboo Trunk kháng khuẩn khử mùi Coolmate,199000,199000,925,184075000,pant,underwear,bundle
72,Áo khoác gió trẻ em New Normal Kids thương hiệu Coolmate,399000,399000,192,76608000,shirt,other,single
73,Áo DÀI TAY nam IN CARE&SHARE Cotton Compact phiên bản Premium màu đen thương hiệu Coolmate,269000,269000,113,30397000,shirt,other,single
74,Áo ba lỗ Cotton 100% Coolmate Basics V2 - thương hiệu coolmate,89000,89000,5200,462800000,shirt,other,single
75,Quần short nam thể thao 7” Function - thương hiệu Coolmate,119000,119000,1600,190400000,pant,short,single
76,Áo thun thể thao nam Recycle Active V2 thoáng khí nhanh khô - thương hiệu Coolmate,159000,159000,664,105576000,shirt,tshirt,single
77,"Áo khoác gió thể thao HeiQ ViroBlock, chống UV & trượt nước thương hiệu Coolmate",499000,499000,1600,798400000,shirt,other,single
78,Áo thun thể thao nam Active ProMax thấm hút nhanh khô - thương hiệu Coolmate,179000,179000,1200,214800000,shirt,tshirt,single
79,Tất cổ ngắn Cotton thoáng khí - Thương hiệu Coolmate,33000,33000,1300,42900000,sock,none,single
80,Áo polo nam thể thao thoáng khí nhuộm sạch Cleandye thương hiệu Coolmate,289000,289000,1500,433500000,shirt,polo,single
81,Quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,99000,99000,626,61974000,pant,underwear,single
82,Áo Polo thể thao nam PROMAX-S2 dáng slimfit thoáng khí thương hiệu Coolmate,289000,289000,1800,520200000,shirt,polo,single
83,Quần short nam thể thao 5” Function ( túi đựng 2 bên tiện lợi ) - thương hiệu Coolmate,169000,169000,1700,287300000,pant,short,single
84,Combo 3 Quần lót Trunk vải Cotton Modal đen cạp mới co giãn không vết hằn - thương hiệu Coolmate,299000,299000,1400,418600000,pant,underwear,bundle
85,Quần TAM GIÁC nam Cotton Compact (khoét hơn) thương hiệu Coolmate,67000,67000,3300,221100000,pant,other,single
86,Combo 4 tất cổ ngắn Cotton thoáng khí - thương hiệu Coolmate,119000,119000,1000,119000000,sock,none,bundle
87,Combo 4 đôi tất cổ trung Cotton thoáng khí - thương hiệu Coolmate,149000,149000,1100,163900000,sock,none,bundle
88,Áo thun thể thao nam Recycle Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,169000,169000,622,105118000,shirt,tshirt,single
89,"Quần thể thao nam 7"" New Ultra Shorts có khóa kéo thương hiệu Coolmate",239000,239000,2200,525800000,pant,short,single
90,"Quần short nam thể thao Recycle 7"" thoáng khí thương hiệu Coolmate",239000,239000,694,165866000,pant,short,single
91,Áo thun thể thao nam Recycle Tee nhanh khô khử mùi (Có nhãn ép) - Thương hiệu Coolmate,159000,159000,731,116229000,shirt,tshirt,single
92,Áo Polo nam Pique Cotton USA cổ sọc thấm hút tối đa - Thương hiệu Coolmate,379000,379000,521,197459000,shirt,polo,single
93,"Quần thể thao Recycle 5"" thoáng khí thương hiệu Coolmate",149000,149000,2200,327800000,pant,other,single
94,Quần Shorts mặc nhà Excool Coolmate,89000,89000,2300,204700000,pant,short,single
95,Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,299000,299000,429,128271000,pant,underwear,bundle
96,Áo polo nam công nghệ khử mùi Anti-Smell - thương hiệu Coolmate,349000,349000,1200,418800000,shirt,polo,single
97,Quần Jeans Clean Denim dáng Slimfit thoải mái vận động - thương hiệu Coolmate,599000,599000,693,415107000,pant,jean,single
98,Áo Polo thể thao nam Recycle Active V1 (L2) thoáng khí mát mẻ - thương hiệu Coolmate,249000,249000,348,86652000,shirt,polo,single
99,Combo 3 đôi tất cổ dài Cotton Solid Casual mềm mại thoáng khí - thương hiệu Coolmate,109000,109000,363,39567000,sock,none,bundle
100,Combo 03 Áo Polo thể thao nam ProMax-S1 Logo thoáng khí - thương hiệu Coolmate,599000,599000,612,366588000,shirt,polo,bundle
101,Tất cổ trung Cotton thoáng khí khử mùi mới - Thương hiệu Coolmate,38000,38000,413,15694000,sock,none,single
102,Set 2 quần lót nam Trunk Microfiber Excool thoáng khí thương hiệu Coolmate,239000,239000,294,70266000,pant,underwear,bundle
103,Áo Polo thể thao nam PROMAX-S2 thoáng khí thương hiệu Coolmate,289000,289000,1300,375700000,shirt,polo,single
104,Áo Tank Top thể thao nam Recycle Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,159000,159000,281,44679000,shirt,other,single
105,"Combo 03 Quần short nam thể thao Recycle 5"" thoáng khí - thương hiệu Coolmate",447000,447000,507,226629000,pant,short,bundle
